student_id,country,age,gender,prior_gpa,admitted_program,target_success
0,LV,39,F,2.185282652252196,CS,1
1,LK,37,F,3.3448377061107912,ENG,1
2,IN,33,F,2.078382048459382,CS,1
3,DE,41,F,2.6281803184808945,BA,0
4,DE,21,M,2.4483690160146647,BA,0
5,IT,42,F,2.8985923956291493,CS,1
6,LV,40,M,2.415705956886744,BA,1
7,IN,31,F,2.6374638237574373,BA,0
8,LT,37,M,2.6583219449332085,BIO,0
9,LV,32,M,2.3593673455652193,BIO,1
10,DE,25,M,3.0910563210982676,CS,0
11,IT,39,M,2.943033024902455,ENG,1
12,LK,24,M,2.7468316328480995,ENG,1
13,LK,26,M,2.541724999922825,BA,0
14,LK,32,F,3.277926418311998,BA,1
15,LK,40,F,2.658499453711491,BIO,0
16,DE,28,M,2.6159816273044374,BA,0
17,LV,31,M,2.8628140179328754,CS,1
18,LK,19,F,3.81795200978251,BA,1
19,DE,21,F,1.9957862751872775,BA,1
20,DE,19,M,3.2619141358332127,BA,0
21,EE,19,M,1.664097303257137,CS,0
22,LT,41,Other,2.930363894937174,CS,1
23,IT,40,M,3.7450496965652382,BIO,1
24,LK,40,M,3.093201114680384,CS,1
25,IN,19,F,2.9023750471238756,ENG,0
26,EE,20,M,2.4637303187181545,ENG,1
27,LK,25,F,2.8186283202931324,ENG,1
28,DE,33,M,2.648762310757986,BIO,1
29,DE,27,F,2.3284140352411864,CS,0
30,DE,31,M,2.626074630715078,BA,1
31,LT,22,M,2.9190286963758636,CS,0
32,LV,37,M,2.3396697588816155,ENG,1
33,DE,26,M,2.3162309075891896,ENG,1
34,IT,19,F,1.983853937444695,BIO,1
35,LV,38,M,3.0344350156533375,BA,1
36,IT,42,F,3.127193957180236,CS,1
37,LK,18,F,2.9389962665419103,BIO,1
38,LT,29,F,3.379102295637199,ENG,1
39,IN,40,F,2.8527205822484363,BIO,1
40,LT,37,F,3.0352065624194537,BA,0
41,LK,41,M,2.9823024553825377,BA,1
